id,order_id,trade_amount,trade_price,trade_date,status;
1,1,2.23181461,37442.13,2025-10-27 01:36:06,pending;
2,2,2.89259717,39859.27,2025-09-18 07:43:48,failed;
3,3,2.24238329,40274.42,2025-10-27 13:30:01,failed;
4,4,0.30215362,38815.88,2025-09-30 14:08:18,pending;
5,5,1.90994678,41777.93,2025-10-28 10:47:51,failed;
6,6,2.65521843,41482.96,2025-09-03 20:53:10,completed;
7,7,1.57153745,44108.85,2025-08-13 04:40:23,failed;
8,8,2.59259057,43006.74,2025-09-13 02:40:12,completed;
9,3,2.81134203,44203.8,2025-10-28 03:18:30,failed;
10,5,0.42726649,36915.4,2025-09-19 03:52:58,failed;
